Team1;Barons;Team2
2;1;9
7;0;3
8;1;6
1;-1;4
5;1;10
9;1;7
10;-1;2
4;0;5
6;-1;3
8;0;1
7;0;2
5;2;9
1;1;10
8;0;3
6;1;8
3;1;7
10;1;5
9;0;2
4;1;6
4;-1;1
3;-2;6
5;2;4
1;1;8
2;1;10
7;1;9
3;1;1
6;1;7
8;-1;5
4;-1;2
10;2;9
5;-1;3
7;1;10
1;1;6
9;-1;4
1;-1;7
3;-1;2
4;-1;10
6;1;5
2;2;8
8;-2;9
10;-1;8
9;1;3
2;1;6
7;0;4
5;-1;1
6;0;9
1;-2;2
5;1;7
3;0;10
8;-1;4
2;1;5
4;-1;3
9;-2;1
7;1;8
10;-1;6
3;1;8
10;0;1
6;2;4
9;-2;5
2;-1;7
2;-1;4
7;1;6
9;1;10
5;1;8
10;-1;7
4;2;9
3;2;5
6;-2;1
8;1;2
1;1;3
5;1;6
9;-2;8
7;-3;1
2;2;3
10;-1;4
1;0;5
8;1;10
3;-1;9
4;2;7
6;2;2
4;1;8
2;-1;1
9;-1;6
10;0;3
7;-1;5
6;0;10
8;-3;7
5;0;2
1;1;9
3;-1;4
