Team1;Towers;Team2
2;9;9
7;-4;3
8;8;6
1;-8;4
5;6;10
9;4;7
10;-5;2
4;7;5
6;-4;3
8;-4;1
7;6;2
5;8;9
1;7;10
8;-2;3
6;10;8
3;1;7
10;2;5
9;-5;2
4;9;6
4;-4;1
3;-6;6
5;4;4
1;10;8
2;9;10
7;7;9
3;8;1
6;8;7
8;1;5
4;-6;2
10;6;9
5;-7;3
7;9;10
1;8;6
9;-7;4
1;6;7
3;-7;2
4;-6;10
6;10;5
2;9;8
8;-3;9
10;-7;8
9;4;3
2;4;6
7;8;4
5;-5;1
6;8;9
1;-4;2
5;-4;7
3;7;10
8;-9;4
2;1;5
4;-8;3
9;-7;1
7;7;8
10;-9;6
3;3;8
10;4;1
6;6;4
9;-6;5
2;-8;7
2;-1;4
7;2;6
9;4;10
5;8;8
10;-10;7
4;7;9
3;7;5
6;-5;1
8;3;2
1;7;3
5;5;6
9;-3;8
7;-4;1
2;5;3
10;-4;4
1;-2;5
8;5;10
3;-4;9
4;3;7
6;4;2
4;6;8
2;-5;1
9;-5;6
10;-5;3
7;-6;5
6;8;10
8;-5;7
5;-5;2
1;9;9
3;-7;4
